gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΓΡΑΦΕΙΟ ΔΙΚΑΙΩΜΑΤΩΝ ΠΟΛΙΤΗ(ΛΑ.ΣΟ.Κ),ΚΥΠΡΙΑΚΗ ΠΡΟΟΔΕΥΤΙΚΗ ΣΥΝΕΡΓΑΣΙΑ (ΚΥ.ΠΡΟ.Σ),ΖΥΓΟΣ ΚΙΝΗΜΑ ΑΝΕΞΑΡΤΗΤΩΝ ΠΟΛΙΤΩΝ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΠΑΜΠΟΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΕΟΦΥΤΟΣ,ΠΙΕΡΙΔΗΣ ΑΝΤΩΝΗΣ
CY_4300,Ζύγι,718,559,10,4,186,180,54,23,93,6,1,2,0,0,0,0,0,0,0,0
CY_4301,Mari,139,124,3,1,94,6,3,4,13,0,0,0,0,0,0,0,0,0,0,0
CY_4302,Καλαβασός,537,431,3,11,119,149,62,54,15,8,4,5,1,0,0,0,0,0,0,0
CY_4303,Τόχνη,209,157,1,0,45,22,33,18,31,7,0,0,0,0,0,0,0,0,0,0
CY_4304,Χοιροκoιτία,361,290,2,2,138,40,75,17,6,1,7,1,0,1,0,0,0,0,0,0
CY_4305,Psematismenos,125,107,3,3,63,9,9,9,4,5,0,0,0,2,0,0,0,0,0,0
CY_4306,Maroni,379,319,7,2,172,22,65,39,8,2,1,0,0,1,0,0,0,0,0,0
CY_4307,Άγιος Θεόδωρος Λάρνακας,475,435,3,3,325,19,20,32,29,1,2,0,0,1,0,0,0,0,0,0
CY_4308,Skarinou,152,138,2,0,39,19,63,8,2,3,1,0,0,1,0,0,0,0,0,0
CY_4309,Κοφίνου,1282,1074,26,15,412,409,93,69,27,5,5,7,2,3,0,0,0,1,0,0
CY_4310,Κάτω Λεύκαρα,108,95,0,2,11,33,12,37,0,0,0,0,0,0,0,0,0,0,0,0
CY_4311,Πάνω Λεύκαρα,914,777,8,6,155,158,65,368,7,6,1,0,1,2,0,0,0,0,0,0
CY_4312,Κάτω Δρυς,109,93,0,0,65,4,13,8,2,1,0,0,0,0,0,0,0,0,0,0
CY_4313,Βάβλα,84,74,0,0,36,6,7,7,14,0,2,1,0,1,0,0,0,0,0,0
CY_4315,Ora,117,109,1,1,52,8,35,8,3,0,1,0,0,0,0,0,0,0,0,0
CY_4316,Μελίνη,76,70,3,2,14,45,4,2,0,0,0,0,0,0,0,0,0,0,0,0
CY_4317,Odou,130,98,2,5,40,37,8,2,2,2,0,0,0,0,0,0,0,0,0,0
CY_4318,'Αγιοι Βαβατσινιάς,157,131,1,2,37,30,45,10,4,1,0,0,1,0,0,0,0,0,0,0
CY_4319,Βαβατσινιά,84,72,0,2,31,10,18,11,0,0,0,0,0,0,0,0,0,0,0,0
