country_code,parliament_name,election_date,round,vote_type,file_path
IT,Camera dei Deputati,2018-03-04,,,elections/IT/2018_03.csv
HU,Országgyűlés,2018-04-08,1.0,party,elections/HU/2018_04_1_party.csv
HU,Országgyűlés,2018-04-08,1.0,single_member,elections/HU/2018_04_1_single_member.csv
SI,Državni zbor,2018-06-03,,,elections/SI/2018_06.csv
SE,Riksdagen,2018-09-09,,,elections/SE/2018_09.csv
LV,Saeima,2018-10-06,,,elections/LV/2018_10.csv
LU,Chambre des Députés,2018-10-14,,,elections/LU/2018_10.csv
EE,Riigikogu,2019-03-03,,,elections/EE/2019_03.csv
FI,Eduskunta,2019-04-14,,,elections/FI/2019_04.csv
ES,Congreso de los Diputados,2019-04-28,,,elections/ES/2019_04.csv
AT,European Parliament,2019-05-26,,,elections/AT/EU_2019_05.csv
BE,Chambre des Représentants,2019-05-26,,,elections/BE/2019_05.csv
BE,European Parliament,2019-05-26,,,elections/BE/EU_2019_05.csv
BG,European Parliament,2019-05-26,,,elections/BG/EU_2019_05.csv
CY,European Parliament,2019-05-26,,,elections/CY/EU_2019_05.csv
CZ,European Parliament,2019-05-26,,,elections/CZ/EU_2019_05.csv
DE,European Parliament,2019-05-26,,,elections/DE/EU_2019_05.csv
DK,European Parliament,2019-05-26,,,elections/DK/EU_2019_05.csv
EE,European Parliament,2019-05-26,,,elections/EE/EU_2019_05.csv
EL,European Parliament,2019-05-26,,,elections/EL/EU_2019_05.csv
ES,European Parliament,2019-05-26,,,elections/ES/EU_2019_05.csv
FI,European Parliament,2019-05-26,,,elections/FI/EU_2019_05.csv
FR,European Parliament,2019-05-26,,,elections/FR/EU_2019_05.csv
HR,European Parliament,2019-05-26,,,elections/HR/EU_2019_05.csv
HU,European Parliament,2019-05-26,,,elections/HU/EU_2019_05.csv
IE,European Parliament,2019-05-26,,,elections/IE/EU_2019_05.csv
IT,European Parliament,2019-05-26,,,elections/IT/EU_2019_05.csv
LT,European Parliament,2019-05-26,,,elections/LT/EU_2019_05.csv
LU,European Parliament,2019-05-26,,,elections/LU/EU_2019_05.csv
LV,European Parliament,2019-05-26,,,elections/LV/EU_2019_05.csv
MT,European Parliament,2019-05-26,,,elections/MT/EU_2019_05.csv
NL,European Parliament,2019-05-26,,,elections/NL/EU_2019_05.csv
PL,European Parliament,2019-05-26,,,elections/PL/EU_2019_05.csv
PT,European Parliament,2019-05-26,,,elections/PT/EU_2019_05.csv
SE,European Parliament,2019-05-26,,,elections/SE/EU_2019_05.csv
SI,European Parliament,2019-05-26,,,elections/SI/EU_2019_05.csv
SK,European Parliament,2019-05-26,,,elections/SK/EU_2019_05.csv
DK,Folketing,2019-06-05,,,elections/DK/2019_06.csv
EL,Βουλή των Ελλήνων,2019-07-07,,,elections/EL/2019_07.csv
AT,Nationalrat,2019-09-29,,,elections/AT/2019_09.csv
PT,Assembleia da República,2019-10-06,,,elections/PT/2019_10.csv
PL,Sejm,2019-10-13,,,elections/PL/2019_10.csv
CH,Nationalrat,2019-10-20,,,elections/CH/2019_10.csv
ES,Congreso de los Diputados,2019-11-10,,,elections/ES/2019_11.csv
IE,Dáil Éireann,2020-02-08,,,elections/IE/2020_02.csv
SK,Národná rada,2020-02-29,,,elections/SK/2020_02.csv
HR,Hrvatski sabor,2020-07-05,,,elections/HR/2020_07.csv
LT,Seimas,2020-10-11,,,elections/LT/2020_10.csv
RO,Camera Deputaților,2020-12-06,,,elections/RO/2020_12.csv
LI,Landtag,2021-02-07,,,elections/LI/2021_02.csv
NL,Tweede Kamer,2021-03-17,,,elections/NL/2021_03.csv
BG,Народно събрание,2021-04-04,,,elections/BG/2021_04.csv
CY,Βουλή των Αντιπροσώπων,2021-05-30,,,elections/CY/2021_05.csv
BG,Народно събрание,2021-07-11,,,elections/BG/2021_07.csv
NO,Storting,2021-09-13,,,elections/NO/2021_09.csv
IS,Alþingi,2021-09-25,,,elections/IS/2021_09.csv
DE,Bundestag,2021-09-26,,Erststimme,elections/DE/2021_09_Erststimme.csv
DE,Bundestag,2021-09-26,,Zweitstimme,elections/DE/2021_09_Zweitstimme.csv
CZ,Poslanecká sněmovna,2021-10-09,,,elections/CZ/2021_10.csv
BG,Народно събрание,2021-11-14,,,elections/BG/2021_11.csv
PT,Assembleia da República,2022-01-30,,,elections/PT/2022_01.csv
MT,Parlament ta' Malta,2022-03-26,,,elections/MT/2022_03.csv
HU,Országgyűlés,2022-04-03,1.0,party,elections/HU/2022_04_1_party.csv
HU,Országgyűlés,2022-04-03,1.0,single_member,elections/HU/2022_04_1_single_member.csv
SI,Državni zbor,2022-04-24,,,elections/SI/2022_04.csv
FR,Assemblée nationale,2022-06-12,1.0,,elections/FR/2022_06_1.csv
FR,Assemblée nationale,2022-06-19,2.0,,elections/FR/2022_06_2.csv
SE,Riksdagen,2022-09-11,,,elections/SE/2022_09.csv
IT,Camera dei Deputati,2022-09-25,,,elections/IT/2022_09.csv
LV,Saeima,2022-10-01,,,elections/LV/2022_10.csv
BG,Народно събрание,2022-10-02,,,elections/BG/2022_10.csv
