gisco_id,name,registered,turnout,invalid,blank,Changement citoyen,Décidons nous-mêmes,REC,LFI,RN,LÉ,Free Palestine,PA,Communistes,ENS,PACE,Équinoxe,Écologie positive,UPR,Paix et Décroissance,LR,LO,ND-AE,RS,NPA-R,PT,LP-VIA,Rester libre,Les Nationalistes,PS-PP,ANC,Résistons,France Libre,ETÉ,La Ruche citoyenne,PCF,Défendre les enfants,ÉAC,Démocratie représentative,EDE,LDF
FR_65166,Espèche,44,27,0,0,0,0,0,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
FR_46095,Espère,744,412,14,10,0,0,17,32,108,20,0,0,0,39,0,0,4,2,0,18,5,0,1,4,0,5,0,0,87,0,24,0,0,0,14,0,4,0,0,0
FR_64214,Espès-Undurein,424,207,9,5,0,0,3,13,48,7,0,0,0,29,0,0,2,1,0,12,0,1,0,0,0,1,0,1,26,0,37,0,1,0,6,0,1,0,1,0
FR_64212,Espéchède,142,95,1,5,0,0,5,3,30,2,0,0,0,20,0,2,0,3,0,7,0,1,0,0,0,0,0,0,5,0,8,0,0,0,2,0,0,0,0,0
FR_46094,Espédaillac,265,178,2,4,0,0,10,19,36,10,0,0,0,23,0,3,0,1,1,10,0,0,0,0,0,2,0,0,30,0,8,0,0,0,14,0,1,0,0,0
FR_81086,Espérausses,126,76,0,2,0,0,4,8,25,5,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,9,0,0,0,4,0,0,0,0,0
FR_11129,Espéraza,1376,730,13,19,0,0,46,59,271,28,0,0,0,60,0,2,2,24,0,27,2,0,0,0,0,13,0,0,84,2,30,0,4,0,29,0,8,0,0,0
FR_14249,Esquay-Notre-Dame,1119,678,17,13,0,0,19,47,209,46,0,0,0,81,0,0,3,6,0,44,1,0,0,0,0,9,0,0,103,0,21,0,2,0,12,0,13,0,0,0
FR_14250,Esquay-sur-Seulles,271,178,5,0,0,0,14,9,55,10,0,0,0,30,0,1,0,0,0,7,0,0,0,1,0,1,0,0,28,0,8,0,1,0,1,0,3,0,0,0
FR_59210,Esquelbecq,1678,1011,39,13,0,0,54,34,352,50,0,2,0,170,0,2,5,2,0,62,8,0,0,0,0,6,0,0,97,0,57,0,4,0,24,0,13,0,0,0
FR_60221,Esquennoy,480,234,6,10,0,0,11,2,125,9,0,0,0,17,0,1,0,0,0,5,7,0,0,1,0,3,0,0,13,0,9,0,0,0,4,0,4,0,0,0
FR_59211,Esquerchin,626,421,3,10,0,0,23,18,192,20,0,0,0,45,0,0,2,0,0,32,2,0,0,2,0,1,0,0,32,0,9,0,2,0,13,0,3,0,0,0
FR_62309,Esquerdes,1223,673,18,8,0,0,23,29,329,22,0,0,0,58,0,1,3,1,0,21,6,0,0,1,0,5,0,0,69,0,30,0,2,0,19,0,12,0,0,2
FR_64217,Esquiule,467,266,11,9,0,0,11,8,57,10,0,0,0,19,0,3,3,9,0,18,2,0,0,1,0,2,0,0,50,0,42,0,1,0,7,0,3,0,0,0
FR_65168,Esquièze-Sère,324,203,4,1,0,0,1,17,44,7,0,0,0,35,0,1,1,4,0,11,0,0,0,0,0,4,0,0,50,0,16,0,0,0,5,0,1,0,0,0
FR_02286,Esquéhéries,642,357,6,9,0,0,14,8,188,2,1,0,0,66,0,0,0,9,0,13,2,0,0,0,0,3,0,0,11,0,15,0,0,0,5,0,4,0,0,0
FR_21250,Essarois,93,66,1,0,0,0,4,1,35,0,0,0,0,8,0,0,1,1,0,6,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0
FR_62310,Essars,1429,780,12,15,0,0,24,41,351,17,0,0,0,94,0,2,4,5,0,44,2,0,1,0,0,5,0,0,62,0,32,0,2,1,30,0,14,0,0,0
FR_85084,Essarts en Bocage,4910,2444,73,53,0,0,108,102,761,109,0,0,0,460,0,5,9,15,0,268,16,0,2,9,0,23,0,0,216,0,78,0,8,0,45,0,50,0,3,0
FR_61156,Essay,377,231,1,7,0,0,21,10,93,11,0,0,0,23,0,1,3,3,0,16,0,0,0,0,0,1,0,0,28,0,6,0,0,0,3,0,1,0,0,0
FR_16131,Esse,378,240,27,10,0,0,6,7,71,11,0,0,0,37,0,0,0,1,0,8,2,0,0,1,0,2,0,0,29,0,9,0,0,0,10,0,5,0,0,0
FR_88163,Essegney,537,263,7,9,0,0,12,7,101,14,0,0,0,38,0,0,3,1,0,25,0,0,0,0,0,4,0,0,26,0,9,0,0,0,3,0,3,0,0,0
FR_90039,Essert,2505,1481,17,16,0,0,110,187,417,60,0,4,0,219,0,5,8,8,0,104,8,0,0,5,0,19,0,0,175,0,18,0,1,0,37,0,24,0,0,0
