gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PDL,PNȚCD,Pavel,FC
RO_009333,Livada,2750,515,22,0,38,70,235,73,9,1,46,18,3
RO_009360,Şofronea,2165,652,24,0,26,231,138,181,3,1,19,22,7
RO_009397,Vladimirescu,9691,1668,74,0,150,48,417,680,47,4,153,73,22
RO_009459,Oraş Chişineu-Criş,7072,2704,83,0,100,298,1310,759,17,5,69,50,13
RO_009495,Oraş Curtici,6648,867,40,0,83,34,378,129,48,2,72,71,10
RO_009538,Oraş Ineu,8218,2987,83,0,418,119,1146,723,31,7,374,65,21
RO_009574,Oraş Lipova,9749,2164,75,0,171,63,926,545,36,9,186,127,26
RO_009627,Oraş Nădlac,6773,1352,68,0,111,55,705,222,12,4,77,73,25
RO_009654,Oraş Pâncota,6059,964,42,0,103,60,305,288,8,5,83,54,16
RO_009690,Oraş Sebiş,5523,1672,75,0,122,54,800,372,43,4,107,82,13
RO_009743,Almaş,2269,806,41,0,62,4,380,164,20,2,81,48,4
RO_009798,Apateu,2850,1005,26,0,117,7,537,164,19,3,82,42,8
RO_009832,Archiş,1287,774,24,0,50,4,232,393,8,1,45,12,5
RO_009887,Bata,871,577,28,0,32,2,331,116,8,4,21,34,1
RO_009930,Beliu,2658,1150,38,0,106,9,586,228,31,1,102,34,15
RO_010006,Birchis,1516,688,30,0,70,0,268,232,15,1,46,22,4
RO_010051,Barsa,1571,734,18,0,66,6,491,76,11,1,37,23,5
RO_010104,Barzava,2311,713,23,0,92,13,196,276,21,6,42,34,10
RO_010195,Bocsig,2858,915,34,0,36,15,498,167,31,0,86,39,9
RO_010239,Brazii,1017,470,8,0,52,2,163,183,11,2,34,12,3
RO_010293,Buteni,2841,1099,46,0,316,10,278,293,23,3,86,36,8
RO_010346,Carand,1002,523,20,0,28,6,296,70,9,1,62,19,12
RO_010373,Cermei,2301,822,46,0,174,33,296,184,19,3,32,26,9
RO_010417,Chisindia,1229,496,14,0,53,1,238,105,18,1,43,21,2
RO_010453,Conop,1839,583,21,0,44,18,274,147,9,3,36,27,4
RO_010514,Covasint,2055,553,23,0,29,3,334,88,4,1,22,43,6
RO_010532,Craiva,2486,1537,41,0,797,3,317,214,81,3,48,28,5
RO_010649,Dezna,1174,765,18,0,41,7,189,436,16,3,27,24,4
RO_010701,Dieci,1351,754,25,0,69,1,279,286,20,2,52,13,7
RO_010765,Ususău,990,596,22,0,48,1,350,98,10,2,29,30,6
