gisco_id,name,registered,turnout,invalid,blank,PR,PUSL,USR-PMP-FD,S.O.S. România,ARS,SENS,REPER,AUR,PDU,UDMR/RMDSZ,AD,PRM,CNR,Pîrvănescu,Gheorghe
RO_004703,Hopârta,858,534,54,0,3,2,16,19,1,0,1,71,3,7,0,4,349,0,4
RO_004767,Horea,1576,1108,85,0,4,5,25,67,2,8,1,329,7,8,25,3,528,5,6
RO_004927,Ighiu,5882,3385,148,0,28,9,185,184,11,48,54,503,64,47,11,14,2020,16,43
RO_004981,Întregalde,488,350,18,0,3,0,5,19,0,9,0,44,2,2,0,0,241,2,5
RO_005103,Jidvei,4190,2417,242,0,10,14,30,84,7,29,16,364,20,40,2,11,1505,10,33
RO_005167,Livezile,1011,721,34,0,2,12,13,38,1,9,5,103,8,6,2,6,471,3,8
RO_005210,Lopadea Nouă,2148,1656,68,0,2,19,17,37,1,9,3,73,4,709,3,6,694,2,9
RO_005309,Lunca Mureşului,1989,1286,111,0,4,7,32,70,4,9,6,125,15,424,1,5,462,1,10
RO_005336,Lupşa,2425,1786,90,0,5,7,43,100,6,22,17,363,25,9,2,8,1076,0,13
RO_005577,Meteş,2261,1495,87,0,17,23,39,76,1,12,9,282,14,7,1,7,903,1,16
RO_005700,Mihalţ,2669,1821,68,0,4,3,78,95,2,21,17,254,18,15,3,8,1204,10,21
RO_005755,Mirăslău,1631,985,58,0,2,2,78,39,0,15,11,103,14,227,1,3,420,1,11
RO_005826,Mogoş,631,445,33,0,0,3,7,18,0,3,3,56,3,4,1,2,302,3,7
RO_006048,Noşlac,1493,837,47,0,1,3,44,33,1,7,5,128,6,118,0,4,430,4,6
RO_006119,Ocoliş,436,412,21,0,3,9,8,9,0,4,3,37,9,1,1,5,292,3,7
RO_006164,Ohaba,470,385,42,0,4,3,4,8,0,1,0,65,4,0,1,2,240,0,11
RO_006217,Pianu,2938,1896,99,0,13,10,104,126,6,20,28,339,21,7,1,9,1058,8,47
RO_006271,Poiana Vadului,840,643,50,0,2,4,20,48,2,2,3,159,5,2,1,4,334,2,5
RO_006397,Ponor,515,441,37,0,2,4,5,16,0,4,3,127,11,4,2,1,220,0,5
RO_006468,Poşaga,790,687,46,0,3,4,52,16,0,11,17,106,12,5,0,0,407,1,7
RO_006547,Rădeşti,1056,842,44,0,5,1,10,27,2,2,8,78,13,114,4,5,518,4,7
RO_006592,Râmetea,854,568,22,0,2,2,4,1,0,3,10,17,2,449,1,2,52,1,0
RO_006627,Râmeţ,453,476,26,0,8,8,11,12,0,4,4,50,3,2,0,3,341,0,4
RO_006761,Roşia Montană,2149,1595,106,0,2,3,66,73,8,35,35,571,10,16,2,7,639,10,12
RO_006930,Roşia de Secaş,1203,817,66,0,3,37,12,30,0,5,7,146,8,21,1,2,467,4,8
RO_006976,Sălciua,1201,812,44,0,4,6,30,27,0,7,14,167,21,7,1,3,467,3,11
RO_007044,Săliştea,1925,1537,71,0,4,4,34,59,4,23,23,184,19,7,8,4,1063,1,29
RO_007099,Săsciori,4921,2886,193,0,21,15,73,146,9,56,55,363,21,19,10,16,1789,12,88
RO_007197,Scărişoara,1164,964,72,0,3,16,16,49,2,10,8,197,14,2,2,5,555,2,11
RO_007348,Sâncel,2111,1359,83,0,5,3,37,61,3,20,18,226,9,1,3,6,863,0,21
RO_007384,Sântimbru,2481,1462,78,0,5,10,49,92,8,13,22,280,9,18,2,4,825,9,38
RO_007446,Sohodol,1381,846,53,0,0,5,18,47,5,14,14,206,6,1,1,9,454,6,7
RO_007767,Stremţ,2009,1457,62,0,9,5,25,71,5,28,17,256,27,12,4,6,904,6,20
RO_007810,Şibot,1992,1265,64,0,7,6,40,52,3,20,32,260,11,12,1,9,730,3,15
RO_007865,Şona,3553,2089,139,0,7,6,55,85,7,25,9,227,11,430,1,7,1050,7,23
RO_007945,Şpring,2031,1378,67,0,15,11,101,70,2,16,14,123,17,18,12,8,874,3,27
RO_008014,Şugag,2253,1552,68,0,6,12,189,58,3,21,52,245,18,18,4,8,801,4,45
RO_008096,Oraş Teiuş,5715,3162,135,0,32,14,102,152,11,67,42,717,38,85,10,9,1672,18,58
RO_008158,Unirea,3824,1999,130,0,6,15,94,98,1,35,33,298,29,181,4,5,1030,8,31
RO_008229,Vadu Moţilor,1040,882,34,0,5,1,14,42,4,17,5,188,16,5,1,7,540,2,1
