gisco_id,name,registered,turnout,invalid,blank,PSD,USR+,PRO,UDMR/RMDSZ,PNL,ALDE,Prodemo,PMP,PSR,PSDI,PRU,UNPR,BUN,Tudoran,AUR,Costea [Peter Costea]
RO_115771,Bichiş,666,444,17,0,31,11,9,309,34,8,3,9,1,3,2,2,0,0,5,0
RO_144198,Biertan,2400,1016,56,0,141,114,24,15,600,9,2,8,5,3,3,2,1,3,3,27
RO_027436,Biharia,3866,1773,31,0,81,127,27,1196,254,14,0,14,1,0,1,3,4,6,3,11
RO_083936,Bilbor,2248,811,15,0,251,101,43,5,310,13,9,37,5,0,10,3,2,2,5,0
RO_147036,Bilca,3088,1095,56,0,221,91,57,5,514,30,7,33,13,3,9,7,3,14,9,23
RO_066401,Bilciuresti,1484,1040,44,0,412,72,146,6,276,7,6,32,4,3,3,2,1,9,8,9
RO_155911,Biled,3396,1608,36,0,273,354,54,21,666,31,6,84,6,5,15,7,3,12,12,23
RO_178929,Bilieşti,2065,1028,50,0,185,114,15,3,551,48,8,26,3,1,2,4,0,5,4,9
RO_121386,Bira,1568,798,37,0,255,96,17,4,224,17,2,17,4,3,3,6,2,7,9,5
RO_010006,Birchis,1489,678,28,0,133,80,55,4,238,70,1,44,4,2,2,3,0,3,0,11
RO_159366,Birda,1682,1007,28,0,381,135,46,14,276,16,4,46,4,6,6,22,1,6,2,14
RO_045245,Bisoca,2025,731,42,0,410,48,38,8,114,19,6,22,5,1,1,0,2,3,6,6
RO_003039,Bistra,3942,1725,49,0,397,164,65,4,878,27,9,102,5,5,5,1,1,5,5,3
RO_107270,Bistra,3276,919,58,0,187,70,33,11,440,27,4,50,7,2,2,19,2,5,1,1
RO_070897,Bistret,3180,1778,57,0,1128,71,71,11,346,32,6,35,8,2,5,2,1,2,1,0
RO_032633,Bistrita Bargaului,3636,1860,66,0,577,221,72,13,699,29,12,113,7,17,9,1,5,9,3,7
RO_095943,Bivolari,3351,1060,65,0,307,133,79,7,300,28,4,70,6,4,8,3,1,21,17,7
RO_065121,Bixad,1411,572,21,0,5,11,6,502,16,1,0,4,0,0,0,2,0,1,3,0
RO_137069,Bixad,6249,1217,73,0,183,101,47,7,604,80,4,84,4,6,5,3,0,2,2,12
RO_003397,Blandiana,786,444,16,0,44,50,7,0,279,6,1,19,1,1,2,1,2,3,4,8
RO_152083,Blejeşti,3064,2070,74,0,1368,110,50,6,264,79,5,70,8,4,3,6,1,11,5,6
RO_130678,Blejoi,7441,4050,90,0,691,1108,298,26,940,145,18,340,25,9,27,24,18,77,78,136
RO_039983,Blândeşti,1615,777,42,0,245,44,58,8,295,30,3,22,7,5,4,2,1,5,6,0
RO_021506,Blagesti,5738,2154,166,0,871,229,71,29,533,96,17,51,18,9,12,13,4,14,12,9
RO_162559,Blăgeşti,1084,518,25,0,245,47,24,6,114,17,0,20,6,5,1,2,1,1,4,0
RO_045334,Blajani,833,650,23,0,436,27,35,6,71,15,2,16,1,1,0,1,1,5,10,0
RO_144303,Blăjel,1897,1025,32,0,149,149,18,37,564,15,7,17,3,7,3,2,1,2,3,16
RO_088350,Blajeni,899,461,7,0,170,28,17,5,198,10,3,14,3,1,0,0,1,1,3,0
RO_125873,Bobiceşti,2615,1246,47,0,525,106,61,4,246,121,7,50,5,4,4,49,1,6,10,0
RO_140280,Bobota,3006,1324,48,0,277,299,115,17,366,26,11,23,5,8,3,98,1,2,3,22
RO_056096,Bobalna,1145,731,24,0,239,78,61,7,176,48,18,39,6,2,6,3,2,5,5,12
RO_107350,Bocicoiu Mare,3657,1153,34,0,293,133,104,38,370,28,10,89,10,5,7,5,0,8,9,10
RO_010195,Bocsig,2742,1120,29,0,300,167,48,10,351,58,7,83,6,1,1,7,4,6,3,39
RO_140324,Bocşa,2720,1404,32,0,114,290,46,600,239,17,10,25,3,5,2,2,3,4,2,10
RO_040606,Bod,4206,2283,41,0,290,560,142,98,760,74,18,77,12,7,10,20,9,26,25,33
RO_121607,Bodeşti,3925,1782,125,0,571,201,85,25,441,48,14,146,15,7,14,13,6,26,18,27
RO_063893,Bodoc,2004,1181,32,0,21,16,8,1055,19,10,1,2,2,2,3,6,1,0,2,1
RO_115824,Bogata,1510,607,20,0,75,79,26,135,228,7,4,13,0,1,3,1,0,7,3,5
RO_014584,Bogati,3650,1864,73,0,707,228,133,17,417,72,9,153,6,9,6,9,2,8,13,2
RO_156035,Bogda,399,273,4,0,90,42,19,4,79,7,0,9,1,0,3,8,0,0,5,2
RO_107403,Bogdan Vodă,2529,832,42,0,192,100,29,9,187,191,9,44,4,4,3,5,0,3,2,8
RO_152127,Bogdana,1769,1346,69,0,864,69,37,13,167,19,21,45,7,1,7,2,5,7,9,3
RO_162595,Bogdana,1191,509,40,0,99,36,14,4,234,31,2,31,3,3,4,4,0,2,1,1
RO_137130,Bogdand,2242,1068,46,0,104,66,75,587,75,81,7,15,3,3,1,2,0,0,0,3
RO_021560,Bogdanesti,2302,955,51,0,256,103,60,7,258,82,12,59,13,3,14,8,1,16,5,7
RO_147054,Bogdăneşti,3290,1333,87,0,384,141,86,14,428,52,4,59,11,10,8,5,3,14,18,9
RO_162693,Bogdăneşti,2419,1090,56,0,591,91,28,3,206,41,6,23,12,3,2,7,1,9,7,4
RO_162791,Bogdăniţa,1141,430,29,0,157,36,17,2,127,37,4,7,0,2,1,2,0,4,3,2
RO_175260,Bogheşti,1214,591,44,0,256,34,15,3,188,15,1,8,5,2,4,0,1,6,8,1
RO_125178,Boghicea,1935,830,44,0,274,44,22,8,351,13,10,31,5,4,3,1,1,9,7,3
RO_180037,Boghis,1476,801,30,0,23,25,5,646,63,3,0,3,0,1,0,0,0,1,0,1
