gisco_id,name,registered,turnout,invalid,blank,ФСБ-СБ,ДНБ,БСП-ОЛ,Гранит,KE,НДСВ,ДБ [Достойна България],ДСБ,ДЖБ,Евророма,КнР,БНС-НД,НВ,АТАКА,ФАГО,ОППБ,ДПС,БХК,ОДС,ПСД,ΡΚ,Пенев,Коев,Димов,Събчев,Илиев,Василев,Петров,Ничев,Мумджиев,Бозукова,Чаушев,Велчев,Абаджиев
BG_MON3887299,Yakimowo,4229,2599,107,0,9,7,1321,5,4,468,6,64,8,59,140,86,17,43,38,3,92,10,107,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BG_PAZ0302837,Batak,5918,4136,108,0,7,6,992,4,4,414,9,113,15,19,12,174,95,247,3,16,1755,3,136,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ0403592,Belowo,9167,4566,204,0,24,7,1716,13,7,1005,15,347,18,42,30,283,155,331,8,21,57,34,246,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ0606207,Bratsigowo,8985,4960,155,0,10,13,1878,13,2,876,9,128,10,86,33,274,90,407,51,26,24,99,771,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ0810450,Welingrad,35640,19682,446,0,35,19,4084,46,16,2722,28,652,45,209,98,1231,324,1214,29,72,7701,38,660,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ1443369,Lesichowo,4652,2872,160,0,1,9,1363,3,5,308,13,91,7,364,23,113,67,93,36,5,43,10,153,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ1955155,Pazardzhik,104494,51597,1570,0,405,197,14955,72,55,11571,389,2860,130,1079,417,3043,1828,3945,221,150,2001,242,6406,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ2055302,Panagyurishte,24567,12344,357,0,23,26,4852,23,11,2355,33,447,50,241,323,543,369,1254,13,54,24,53,1286,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ2156277,Peshtera,18272,8946,355,0,12,20,2790,13,18,1689,16,313,24,43,59,461,124,914,9,50,922,65,1043,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ2462004,Rakitowo,12081,5250,213,0,7,12,1410,8,1,849,11,143,26,141,32,244,72,246,7,14,1390,12,411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ2966264,Septemwri,23186,11662,460,0,156,19,3940,9,15,1778,39,397,32,1010,145,632,252,442,5,33,904,53,1330,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PAZ3269835,Strelcha,4903,2576,90,0,37,8,1120,3,4,411,7,69,8,182,44,159,51,70,6,9,8,4,283,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_PER0806286,Breznik,6731,4361,180,0,5,17,1871,13,8,1207,7,152,11,57,29,115,61,150,40,19,12,14,374,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
BG_PER1930778,Zemen,3077,1939,70,0,2,3,836,8,1,235,4,57,5,6,7,153,26,69,36,11,0,10,395,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
BG_PER2237513,Kowachewtsi,1557,1148,54,0,0,3,625,0,1,143,1,70,0,2,8,65,22,23,11,3,3,7,89,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0
