gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,Nieuw Nederland,Lijst 17,Partij TTn,Heel NL,Evangelische Partij Nederland
NL_0074,Heerenveen,33620,25322,31,13,7589,4647,2652,2819,2958,1667,1523,848,275,84,81,71,30,3,20,5,0,6
NL_0398,Dijk en Waard,37979,27940,51,37,5287,7075,4051,3130,3254,1844,1858,522,361,248,105,22,42,5,30,6,7,5
NL_0917,Heerlen,70702,47663,95,53,8444,5152,13818,8724,5161,2456,1865,394,746,363,216,35,76,16,30,6,13,0
NL_1658,Heeze-Leende,11886,9428,9,4,1140,2265,1300,1176,2246,404,616,68,91,71,20,3,5,3,7,3,3,0
NL_0399,Heiloo,17296,14350,20,8,2843,4077,1395,914,1940,1240,1362,134,227,88,55,15,9,3,15,3,4,0
NL_0163,Hellendoorn,27480,21901,20,9,3155,3245,2660,2099,7194,904,933,1223,166,105,37,115,13,4,16,2,2,0
NL_0530,Hellevoetsluis,30626,21902,34,27,3474,5923,5297,2321,1571,1116,1034,357,378,166,70,72,20,8,20,5,9,0
NL_0794,Helmond,64148,44780,91,32,7349,8622,10420,7010,5437,2246,2223,272,457,377,112,13,56,6,44,4,9,0
NL_0531,Hendrik-Ido-Ambacht,19910,15754,21,16,2033,3624,2465,1136,2062,548,677,998,157,71,18,1895,10,5,16,0,2,0
NL_0164,Hengelo,61168,46358,71,40,10358,8170,6012,6360,7178,2727,3323,1096,477,222,138,60,76,5,29,4,12,0
NL_0063,het Bildt,8005,6029,8,3,1409,869,685,814,1337,342,201,224,65,18,24,17,5,2,5,2,0,0
NL_0252,Heumen,12515,10265,10,10,1914,2099,1123,1264,1827,831,898,76,124,36,33,2,6,0,10,0,2,0
NL_0797,Heusden,32728,24814,46,20,3361,5644,4723,3163,4325,1079,1542,226,271,233,77,37,21,4,33,7,2,0
NL_0534,Hillegom,15634,12473,15,2,1814,3476,2151,975,1797,769,862,161,222,93,29,66,15,3,18,4,3,0
NL_0798,Hilvarenbeek,11467,9131,8,2,1293,2108,1112,1178,2144,452,545,41,110,82,32,9,2,0,11,2,2,0
NL_0402,Hilversum,63505,48994,73,30,10048,11524,6527,4315,4474,4011,5189,1285,808,199,133,235,90,8,31,14,0,0
NL_1735,Hof van Twente,27296,21952,24,12,4102,4985,2625,1726,5662,813,1314,278,162,126,41,48,13,3,15,2,2,0
NL_0118,Hoogeveen,42317,31479,57,16,6045,4654,4936,3238,6987,1266,1037,2247,257,191,65,429,18,4,25,4,6,0
NL_0018,Hoogezand-Sappemeer,26952,18647,20,25,5796,2706,2855,2472,1355,1221,879,774,294,99,32,58,23,6,21,5,0,6
NL_0405,Hoorn,52833,39127,62,41,8718,9128,5768,4470,3511,2896,2830,509,641,231,131,55,57,8,47,7,5,12
NL_1507,Horst aan de Maas,31518,24101,36,25,2638,4000,4885,3712,6124,1025,1056,108,211,158,66,12,22,2,16,2,3,0
NL_0321,Houten,34625,28716,26,17,4580,7102,3702,2196,3629,2188,2482,1579,305,157,68,626,34,2,16,5,2,0
NL_0406,Huizen,31848,25407,36,19,4012,6897,3252,1730,3575,1564,1966,1319,338,104,84,455,23,6,19,8,0,0
NL_0677,Hulst,20358,14586,27,13,2640,2686,3054,1657,2714,728,527,113,182,151,30,24,17,5,14,4,0,0
NL_0353,IJsselstein,25051,19498,28,10,3449,5325,3085,1764,2309,1103,1413,469,185,100,42,185,13,7,7,9,7,0
NL_1884,Kaag en Braassem,19563,15859,14,6,1788,4624,2505,1168,3248,841,1066,187,180,116,33,46,14,3,15,3,2,0
NL_0166,Kampen,36954,29468,42,37,4543,3594,3231,2440,5869,1307,984,4329,201,100,56,2698,21,4,11,0,4,0
NL_0678,Kapelle,9188,7648,13,5,1037,1405,826,585,1688,294,324,439,90,52,13,862,6,3,6,0,0,0
NL_0537,Katwijk,45808,35434,66,7,3225,6262,5761,1983,8799,1066,1137,3762,351,179,34,2733,32,9,24,3,3,0
NL_0928,Kerkrade,36270,24266,29,24,4459,2345,8778,3340,2815,1005,601,107,424,189,71,21,26,3,15,7,7,0
NL_1598,Koggenland,16448,13217,16,8,1725,3748,1889,1080,2708,769,768,78,180,149,47,13,14,3,17,3,4,0
NL_0079,Kollumerland en Nieuwkruisland,9960,7317,9,6,1163,890,976,778,2157,298,186,626,79,37,38,62,6,0,2,2,0,3
NL_0588,Korendijk,8350,6759,5,2,814,1433,1085,492,877,246,245,302,80,34,17,1116,7,2,2,2,0,0
NL_0542,Krimpen aan den IJssel,22035,17531,32,8,2794,3473,2739,1194,1932,773,853,1155,210,71,32,2227,11,3,17,6,3,0
NL_1659,Laarbeek,16521,12475,16,6,1626,2408,2318,1914,2752,507,568,45,107,140,38,5,9,5,14,5,0,0
