gisco_id,name,registered,turnout,invalid,blank,VVD,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie,Forum voor Democratie,OndernemersPartij,VNL (VoorNederland),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,NIEUWE WEGEN,Lokaal in de Kamer,De Burger Beweging,GeenPeil,DENK,Vrijzinnige Partij,Libertarische Partij (LP),JEZUS LEEFT,Niet Stemmers,Artikel 1,StemNL,MenS en Spirit / Basisinkomen Partij / V-R,Vrije Democratische Partij (VDP)
NL_0785,Goirle,18187,15261,23,20,3719,2036,2015,733,2018,1917,1275,549,359,86,261,19,48,7,25,20,17,6,0,80,4,2,5,8,8,2,0,0
NL_1942,Gooise Meren,41824,36159,76,51,12179,6511,1624,2091,3252,2636,3221,896,1405,598,706,36,107,140,118,32,20,9,11,389,7,0,0,18,26,0,0,0
NL_0512,Gorinchem,26719,21658,66,43,4546,2402,1909,1340,2135,2883,1741,657,625,1119,400,19,68,472,52,19,10,3,2,1075,4,3,38,11,16,0,0,0
NL_0513,Gouda,53620,44462,158,83,7361,5750,3188,2733,4400,5471,4660,1202,1558,2721,797,49,192,1996,164,78,0,19,31,1735,9,7,43,21,29,7,0,0
NL_0786,Grave,9600,7971,9,6,1831,912,1265,340,1189,1129,527,263,207,50,127,9,36,10,25,6,2,8,2,6,2,2,0,5,2,2,0,0
NL_0014,Groningen,157993,130700,272,189,17696,25973,14152,10438,8621,8723,24642,2181,6737,5757,2220,133,280,453,953,137,81,82,72,501,45,33,0,119,210,0,0,0
NL_0015,Grootegast,9303,7577,9,14,1063,497,781,342,2052,867,413,185,132,809,144,16,28,175,20,9,5,4,3,3,3,0,0,7,0,0,0,0
NL_1729,Gulpen-Wittem,11832,9961,25,19,1703,922,1198,427,1865,1784,856,505,288,69,167,18,21,30,20,9,0,4,6,11,2,2,0,8,2,0,0,0
NL_0158,Haaksbergen,19026,16104,47,24,3825,1736,1586,814,3916,1792,796,472,253,171,247,17,58,32,29,11,5,4,11,248,5,0,0,3,2,0,0,0
NL_0788,Haaren,11133,8964,16,4,2546,1034,911,341,1754,908,622,324,203,73,104,6,29,16,17,14,20,4,2,9,2,0,0,3,2,0,0,0
NL_0392,Haarlem,116935,96727,342,191,18447,17293,6753,7512,5853,8998,15172,2658,5476,1682,1637,105,232,215,468,143,49,38,69,3076,35,0,0,91,192,0,0,0
NL_0393,Haarlemmerliede en Spaarnwoude,4386,3754,9,2,1126,474,215,214,421,452,346,119,145,44,88,12,25,8,18,0,4,3,2,19,2,0,0,3,4,0,0,0
NL_0394,Haarlemmermeer,106838,89321,320,108,26485,10903,5128,4462,9182,12096,6579,3305,2808,2223,2070,115,470,656,328,148,82,45,51,1381,23,0,0,81,272,0,0,0
NL_1655,Halderberge,23211,18289,53,21,4742,1497,2222,630,2496,3630,1006,715,376,146,286,28,55,33,44,24,14,4,8,233,9,4,5,6,4,4,0,0
NL_0160,Hardenberg,45940,38849,76,36,6705,2661,3351,1710,9959,4347,1551,1168,522,4936,640,56,134,764,74,34,30,16,15,30,10,0,0,15,9,0,0,0
NL_0243,Harderwijk,34738,29139,113,26,6649,2485,1635,1210,4908,3172,1882,752,709,2854,454,41,85,790,76,45,14,18,10,1147,3,3,22,21,11,0,6,0
NL_0523,Hardinxveld-Giessendam,13421,11648,18,8,1832,443,616,417,1741,1319,292,230,147,1930,161,12,21,2360,24,13,4,0,6,20,2,0,25,5,2,2,0,0
NL_0017,Haren,14954,13348,21,14,2946,2301,854,1165,1526,656,1863,241,564,766,196,14,26,75,34,20,17,2,15,8,8,3,0,6,7,0,0,0
NL_0072,Harlingen,12343,9913,48,13,1841,864,1233,846,1360,1334,771,435,347,367,240,16,47,48,31,43,7,5,5,15,5,0,0,0,0,0,0,0
NL_0244,Hattem,9316,8155,12,3,1512,827,584,563,1526,658,452,169,132,1342,92,4,25,180,12,4,2,2,2,21,0,0,26,2,2,0,3,0
NL_0396,Heemskerk,30434,25080,89,36,6013,3048,2372,1524,2663,3436,2300,1011,808,358,600,24,133,51,88,31,23,7,23,378,8,0,0,16,40,0,0,0
NL_0397,Heemstede,20353,17997,34,23,6481,3345,679,1018,1812,1064,1634,394,689,289,304,10,44,46,35,8,9,4,6,38,4,0,0,12,15,0,0,0
NL_0246,Heerde,14681,12347,22,9,2233,902,928,697,2620,1528,509,333,223,1599,153,6,32,468,26,10,5,2,2,22,2,0,11,5,0,2,2,0
NL_0074,Heerenveen,38983,31913,75,48,6259,3757,3781,3378,4318,3120,2996,898,869,1106,522,57,107,125,101,86,31,25,13,238,3,0,0,0,0,0,0,0
NL_0398,Dijk en Waard,40555,32943,154,49,8572,4047,3061,1949,3563,3992,2766,1135,1059,658,688,72,163,69,120,60,121,22,41,504,8,0,0,27,36,0,0,7
NL_0917,Heerlen,69327,50450,215,102,6541,4271,10213,2044,4822,11773,3594,2251,1881,390,932,62,162,83,168,93,0,40,30,678,19,16,0,33,37,0,0,0
