gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democraten 66 (D66),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),GROENLINKS,Partij voor de Dieren,ChristenUnie,50PLUS,Staatkundig Gereformeerde Partij (SGP),Partij voor Mens en Spirit (MenS),Piratenpartij,SOPN,Democratisch Politiek Keerpunt DPK,Partij van de Toekomst (PvdT),Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD
NL_0109,Coevorden,27949,21480,36,34,6681,5860,1813,1091,1879,2463,294,268,476,298,127,40,39,33,14,18,7,4,4,4,0
NL_1706,Cranendonck,15823,11750,19,23,2093,3559,1656,691,1550,1409,127,147,38,320,17,12,37,17,13,15,2,3,2,0,0
NL_0611,Cromstrijen,10094,7966,7,7,1653,2642,507,453,873,636,84,168,249,142,497,10,11,2,4,10,6,0,2,3,0
NL_1684,Cuijk,18718,14006,27,33,3015,3478,3139,939,1238,1379,222,161,40,227,6,19,34,10,11,15,8,3,2,0,0
NL_0216,Culemborg,20477,15707,32,19,4157,4308,1274,1353,1662,995,631,332,341,297,161,47,52,7,8,17,4,6,3,3,0
NL_0148,Dalfsen,20967,17109,24,22,3315,4513,1216,916,968,3361,225,157,1667,218,406,17,27,15,9,17,7,5,3,3,0
NL_1891,Dantumadiel,14917,11216,19,9,3112,1350,1099,278,972,2163,94,113,1188,95,669,11,21,6,4,8,2,0,2,2,0
NL_0310,De Bilt,32359,26750,36,51,5398,8799,1704,3163,1713,1988,975,598,822,472,827,68,71,27,8,14,8,4,3,3,0
NL_1663,De Marne,8190,6317,6,5,1939,1095,751,281,465,753,190,159,470,88,65,11,13,7,5,4,2,2,0,7,0
NL_0736,De Ronde Venen,32445,26094,33,23,3866,11677,1136,2151,2134,2371,479,388,744,499,387,46,67,24,22,20,10,6,6,5,0
NL_1690,De Wolden,18568,14955,25,12,3473,5138,899,973,1038,1994,273,234,483,162,127,34,30,23,15,7,8,4,2,2,0
NL_0503,Delft,72855,55129,157,163,14692,11941,4555,8353,5088,2994,2402,1322,1459,995,320,114,384,62,27,34,37,12,8,10,0
NL_0010,Delfzijl,20633,14196,40,38,5214,2479,1677,508,1420,1235,156,258,723,260,65,14,58,18,7,9,8,3,2,4,0
NL_0400,Den Helder,44894,30235,61,49,6515,9202,2752,1601,4319,1987,381,736,1014,1021,233,62,120,57,40,41,9,19,5,11,0
NL_0762,Deurne,24778,17995,23,46,3148,5773,2721,1070,1920,2320,204,180,61,368,19,32,43,21,12,14,16,3,3,0,0
NL_0150,Deventer,73400,55246,125,77,18761,11759,5537,5314,4177,3850,1822,1032,1285,856,148,112,186,66,42,40,18,9,16,14,0
NL_0384,Diemen,18415,13360,42,25,4027,3520,1224,1229,1316,511,447,352,159,341,14,19,60,20,17,17,10,3,4,3,0
NL_1774,Dinkelland,19745,16120,28,19,2540,5193,1198,883,1294,4195,133,125,90,273,26,19,22,36,14,3,3,25,0,3,0
NL_0504,Dirksland,6409,5026,10,5,745,1151,322,113,566,426,33,56,351,73,1131,10,12,5,7,7,0,0,2,2,0
NL_0221,Doesburg,9166,6772,9,7,2109,1385,1047,507,656,493,135,127,114,92,22,15,22,8,4,8,5,2,2,4,0
NL_0222,Doetinchem,43619,32618,44,36,10212,7719,3676,2440,2913,2796,642,528,606,434,337,58,76,38,20,18,4,8,4,9,0
NL_0766,Dongen,19581,14346,19,26,3355,4232,1826,1054,1496,1348,172,218,157,302,38,20,24,6,18,18,6,5,4,2,0
NL_0058,Dongeradeel,18708,14221,29,17,3687,2156,1441,588,1036,3244,173,183,1209,142,206,33,24,12,15,12,7,3,3,3,0
NL_0505,Dordrecht,88544,62254,177,110,16452,14095,5992,4144,7788,3817,1418,1576,2800,1364,1967,104,203,79,49,48,34,4,18,15,0
NL_0498,Drechterland,14690,11491,26,10,2134,4448,841,775,994,1163,217,210,78,447,17,17,43,27,18,16,2,4,3,2,0
NL_1719,Drimmelen,21043,15372,28,23,3091,5014,1790,1093,1820,1359,229,243,95,422,29,32,44,24,10,18,3,0,2,3,0
NL_0303,Dronten,29448,23119,52,24,3939,8302,1565,1366,2133,2633,369,320,1469,429,289,55,52,65,24,12,5,5,3,8,0
NL_0225,Druten,13829,10275,18,12,2543,3099,1418,718,1065,839,120,140,42,199,9,8,18,9,5,9,0,2,2,2,0
NL_0226,Duiven,19288,14805,31,14,3825,4445,1624,1087,1412,1268,265,194,204,313,29,25,24,12,9,14,2,4,3,2,0
NL_1711,Echt-Susteren,25793,18765,33,64,3508,3819,2483,958,4111,2470,271,364,98,381,10,58,57,26,22,12,10,3,6,3,0
NL_0385,Edam-Volendam,21866,16838,22,33,1877,7270,686,667,2826,2359,216,225,79,381,29,37,36,43,19,6,13,6,5,3,0
