gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,SP,GL,D66,LPF,CU,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,SGP,De Conservatieven.nl,Nieuwe Communistische Partij,Duurzaam Nederland,Alliantie Vernieuwing en Democratie,VIP Vooruitstrevende Integratie Partij,Lijst Veldhoen
NL_0070,Franekeradeel,15530,12655,0,7,4087,1509,4528,720,509,296,449,351,48,65,31,18,24,0,9,3,3,0,0
NL_0653,Gaasterlan-Sleat,7740,6742,0,4,1289,943,3100,301,277,151,284,133,39,99,8,3,107,0,3,0,3,0,0
NL_0779,Geertruidenberg,16282,12488,0,15,3629,2369,3737,903,440,392,735,35,61,80,29,18,29,5,5,4,4,4,0
NL_0236,Geldermalsen,18787,16221,0,13,3659,3272,5123,567,502,492,992,214,69,66,29,12,1207,0,4,0,0,0,0
NL_0781,Geldrop,21150,16681,0,20,3875,2881,5389,1509,849,658,1064,139,77,105,67,22,11,4,4,7,0,0,0
NL_1652,Gemert-Bakel,20888,16552,0,22,3510,2392,7275,1371,481,367,858,23,69,79,63,12,7,8,6,2,4,3,0
NL_0237,Gendringen,15600,12686,0,8,3449,1508,5730,667,401,250,487,47,40,37,27,11,6,2,3,10,3,0,0
NL_0907,Gennep,12748,9670,0,17,2412,1352,3748,729,392,382,509,28,25,38,19,5,6,5,5,6,0,0,0
NL_0689,Giessenlanden,10710,9662,0,10,2064,1923,3327,346,221,255,457,574,31,20,14,11,394,6,5,0,0,3,3
NL_0784,Gilze en Rijen,18581,15105,0,19,3917,2669,5076,1087,592,595,863,43,59,81,39,18,7,6,3,25,4,2,0
NL_0511,Goedereede,8796,7825,0,6,1121,1182,2710,185,100,139,393,300,29,20,5,8,1619,0,3,3,0,3,3
NL_0664,Goes,27723,22209,0,11,5429,3414,7063,1208,1179,683,835,671,127,65,42,27,1434,0,9,12,0,0,0
NL_0785,Goirle,17177,14060,0,12,3503,2656,4572,1223,672,601,632,21,41,61,29,18,2,4,4,5,2,3,0
NL_0512,Gorinchem,24720,19281,0,23,6241,3633,4309,1152,793,770,1181,627,86,76,25,7,318,5,8,24,2,2,0
NL_0239,Gorssel,10521,9292,0,8,2300,2321,2931,440,421,441,267,77,34,28,11,3,6,3,3,3,3,0,0
NL_0513,Gouda,51798,42789,0,65,11765,7250,9708,2413,2621,2006,3622,1425,242,149,32,59,1379,16,15,8,8,6,0
NL_0693,Graafstroom,6790,6124,0,3,699,729,2653,136,109,74,179,514,17,14,4,3,984,4,0,0,0,0,2
NL_0365,Graft-De Rijp,4714,4197,0,0,946,1048,1248,258,201,218,203,8,34,22,4,2,3,0,2,0,2,0,0
NL_0786,Grave,9333,7740,0,5,1697,1432,2715,749,357,274,393,30,40,20,10,8,4,3,3,3,3,0,0
NL_0240,Groenlo,7370,6095,0,6,1442,798,2919,356,176,145,179,11,21,19,13,4,6,0,0,0,0,0,0
NL_0241,Groesbeek,14742,11956,0,6,3949,1439,3969,930,610,342,566,32,31,41,25,4,6,0,2,4,0,0,0
NL_0014,Groningen,144046,117279,0,124,45615,16208,15363,12031,11850,7134,3194,4349,542,273,110,88,192,0,174,21,11,0,0
NL_0015,Grootegast,8785,7300,0,4,1568,727,3349,307,200,137,263,609,29,18,7,6,70,0,4,4,4,0,0
NL_1729,Gulpen-Wittem,11730,9743,0,9,2295,1074,4621,502,413,238,464,30,37,32,9,7,4,5,2,2,0,0,0
NL_0158,Haaksbergen,18244,15509,0,19,3424,2475,7341,616,453,479,550,59,0,40,25,9,7,6,6,0,0,0,0
NL_0788,Haaren,10447,8567,0,6,1554,1517,4000,426,321,284,333,27,21,38,18,8,4,5,5,0,0,0,0
NL_0392,Haarlem,112100,87888,0,91,27428,16344,16298,7229,7257,5702,4886,976,785,350,123,113,128,32,58,72,16,0,0
NL_0393,Haarlemmerliede en Spaarnwoude,4096,3546,0,4,691,912,1057,174,177,236,226,21,22,11,3,4,4,2,2,0,0,0,0
NL_0394,Haarlemmermeer,89689,74058,0,68,15273,20617,20218,3367,3328,3670,4868,1093,424,367,86,73,499,31,37,18,21,0,0
NL_0914,Haelen,7730,6015,0,11,1267,1032,2560,301,211,222,310,8,50,24,10,2,4,2,0,2,0,0,0
NL_1655,Halderberge,22665,17390,0,16,4170,3393,6117,1009,544,529,1305,75,62,81,39,19,11,7,3,6,4,0,0
NL_0160,Hardenberg,42453,36685,0,18,8465,3884,15805,1277,882,642,1205,3941,0,119,49,20,367,3,8,0,0,0,0
NL_0243,Harderwijk,29766,24828,0,16,4412,4412,9724,980,1087,767,1084,1547,83,85,30,19,523,6,6,45,2,0,0
NL_0523,Hardinxveld-Giessendam,13036,11485,0,8,2096,1272,3782,297,161,147,502,1318,32,28,7,4,1822,3,3,2,2,0,0
NL_0017,Haren,14451,13029,0,6,3656,3050,3075,484,875,897,328,544,34,15,5,6,49,0,4,0,4,0,0
NL_0395,Harenkarspel,11638,9823,0,3,2074,2197,3405,491,490,451,534,49,49,51,16,4,3,0,4,2,0,0,0
NL_0072,Harlingen,11638,9388,0,5,3511,1369,2254,654,460,281,431,280,38,63,14,12,8,0,5,2,2,0,0
NL_0244,Hattem,8892,7880,0,5,2161,1043,2692,228,209,221,186,984,29,19,8,8,92,8,8,0,0,0,0
NL_1937,Heel,6393,4785,0,10,1085,809,2007,286,139,162,212,3,40,24,4,0,2,0,2,2,0,0,0
NL_0396,Heemskerk,26772,21625,0,17,6046,3993,6176,1292,1287,873,1399,183,121,125,26,25,28,4,14,13,3,0,0
NL_0397,Heemstede,19462,17222,0,10,3152,5551,4479,713,965,1376,660,131,95,38,10,15,20,2,3,0,2,0,0
NL_0246,Heerde,13843,11989,0,6,3213,1412,4846,324,261,234,391,915,59,26,18,0,277,3,3,0,3,0,0
NL_0074,Heerenveen,32183,25960,0,24,10677,4008,5602,1610,1177,885,892,688,107,169,35,22,33,0,23,7,7,0,0
NL_0398,Dijk en Waard,34371,27648,0,26,7345,6245,7536,1518,1425,1246,1510,326,144,203,46,21,22,0,13,15,7,0,0
NL_0917,Heerlen,72495,49734,0,53,15369,5385,13886,7162,2334,1358,3046,280,325,283,79,65,45,31,23,10,0,0,0
NL_1658,Heeze-Leende,11667,9899,0,10,1846,1936,4307,503,319,403,423,12,25,66,35,4,7,0,2,0,2,0,0
NL_0399,Heiloo,16932,14897,0,17,3439,3817,4205,670,872,918,653,106,72,49,16,21,5,0,30,3,4,0,0
NL_0918,Helden,14461,11380,0,7,2009,1701,5664,598,426,253,564,21,44,64,14,3,4,6,3,3,0,0,0
NL_0163,Hellendoorn,27610,24058,0,16,4730,2490,13019,874,693,493,724,808,0,68,31,6,93,7,6,0,0,0,0
NL_0530,Hellevoetsluis,29525,22561,0,59,6318,5775,4032,1309,919,853,2553,250,161,144,26,38,82,13,10,4,3,3,9
NL_0794,Helmond,61131,44353,0,64,12457,7909,12194,4348,1674,1362,3354,201,260,256,138,50,13,20,28,9,10,6,0
NL_0531,Hendrik-Ido-Ambacht,15831,13587,0,6,2724,2563,3912,428,309,417,967,453,70,52,6,14,1651,7,3,2,0,0,3
NL_0164,Hengelo,60915,50339,0,65,15446,7930,15225,3905,2590,2104,1826,876,0,172,76,38,47,23,16,0,0,0,0
NL_0248,Hengelo,6534,5557,0,9,1320,804,2700,170,116,126,222,30,15,19,20,2,4,0,0,0,0,0,0
NL_0063,het Bildt,7965,6561,0,4,2056,767,2390,453,235,121,306,119,40,35,6,14,10,0,5,0,0,0,0
NL_0252,Heumen,12176,10640,0,14,2623,1944,3672,625,707,551,379,23,41,40,13,4,2,0,2,0,0,0,0
NL_0797,Heusden,31989,25891,0,20,5865,4824,9443,1859,927,947,1479,125,83,126,84,29,50,4,5,11,6,4,0
NL_0920,Heythuysen,9034,7213,0,12,1236,1114,3551,377,239,224,352,25,43,25,7,4,2,2,2,0,0,0,0
NL_0534,Hillegom,15506,12886,0,11,2475,3060,4349,640,564,544,877,101,78,73,24,17,67,2,2,0,3,0,0
NL_0798,Hilvarenbeek,11134,9483,0,12,1872,1619,4313,603,345,284,346,6,14,27,22,7,2,4,2,6,0,0,0
NL_0402,Hilversum,63466,51815,0,40,13913,11588,11466,3715,3346,3176,2689,906,337,184,48,69,263,24,18,25,8,0,0
NL_1735,Hof van Twente,26751,23436,0,14,5942,4652,9478,886,654,710,745,167,0,82,47,12,31,10,6,0,0,0,0
NL_0118,Hoogeveen,40702,33032,0,24,10100,3719,12257,1591,1057,726,1307,1594,106,142,33,19,343,5,8,5,0,0,0
