gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,GROEN!,CD&V,SP.A,VLAAMS BELANG,Lijst Dedecker,PVDA+,LSP,MR,ECOLO,PS,CDH,BELG.UNIE,Parti Populaire,PROBRUXSEL,WALLONIE D'ABORD,Front des gauches,FN,R.W.F.,PTB+PVDA+,PIRATE PARTY,EGALITE,PTB+,FN+,MSplus,W+,Vrijheid,VIVANT,MP Education,Parti Pensionné PP,RESPECT,N,V.I.T.A.L.
BE_K00065,Fontaine-l'Evêque,48324,42444,3311,0,0,0,0,0,0,0,0,0,0,6449,3443,19769,3532,0,1365,0,767,293,1267,629,0,0,0,679,750,35,155,0,0,0,0,0,0,0
BE_K00066,Fosses-la-Ville,30944,27610,2158,0,0,0,0,0,0,0,0,0,0,5927,3630,7641,4333,332,904,0,441,139,862,633,0,0,0,451,0,20,139,0,0,0,0,0,0,0
BE_K00068,Frameries,20500,18136,1492,0,0,0,0,0,0,0,0,0,0,2190,1129,9211,2058,0,305,0,299,138,494,258,0,0,0,258,244,24,36,0,0,0,0,0,0,0
BE_K00069,Frasnes-Lez-Anvaing,8531,7582,423,0,0,0,0,0,0,0,0,0,0,2757,726,2249,845,0,149,0,110,23,113,55,0,0,0,74,39,8,11,0,0,0,0,0,0,0
BE_K00072,Gedinne,7910,7195,514,0,0,0,0,0,0,0,0,0,0,3162,501,1537,784,58,140,0,79,27,172,135,0,0,0,56,0,6,24,0,0,0,0,0,0,0
BE_K00073,Gembloux,55560,49085,3806,0,0,0,0,0,0,0,0,0,0,9543,6117,16847,6055,601,1298,0,904,215,1391,1262,0,0,0,734,0,46,266,0,0,0,0,0,0,0
BE_K00074,Genappe,18184,16305,914,0,0,0,0,0,0,0,0,0,0,5346,2473,3389,2214,214,764,0,233,118,0,369,0,0,0,141,0,0,76,0,0,0,0,0,54,0
BE_K00075,Genk,61610,57360,2906,0,15639,4302,2538,12263,8535,7463,1376,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00071,Gand,176132,158267,7229,0,33457,25401,21567,16039,30068,15791,4521,3055,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0
BE_K00079,Grammont,25091,22820,1461,0,5288,4204,812,2444,4600,3055,680,128,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0
BE_K00076,Gistel,27292,25517,1526,0,4804,4265,1216,5327,3640,1966,2506,165,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
BE_K00077,Glabbeek,14976,13816,630,0,4035,2159,1145,2419,1689,1044,532,118,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
BE_K00078,Grâce-Hollogne,38919,33982,1889,0,0,0,0,0,0,0,0,0,0,4690,3455,15992,3267,280,857,0,548,332,0,400,0,0,0,1433,0,71,90,0,142,85,451,0,0,0
BE_K00080,Héron,5788,5302,335,0,0,0,0,0,0,0,0,0,0,1526,840,1434,585,59,152,0,82,51,0,95,0,0,0,64,0,16,10,0,29,6,18,0,0,0
BE_K00081,Haacht,60413,54624,2745,0,16759,8211,4354,7771,7195,5271,1577,455,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0
BE_K00082,Hal,87927,77900,4847,0,16547,6561,3289,8961,4996,6154,1518,0,0,10154,2888,4771,3266,768,1303,276,356,109,276,122,393,192,153,0,0,0,0,0,0,0,0,0,0,0
BE_K00083,Hamme,26724,24777,1022,0,7540,3600,1424,4161,2728,3310,700,177,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
BE_K00084,Hannut,20114,18279,1303,0,0,0,0,0,0,0,0,0,0,5979,2308,4888,2011,138,544,0,305,93,0,273,0,0,0,196,0,25,31,0,80,18,87,0,0,0
BE_K00085,Harelbeke,58698,54810,3121,0,12655,6720,2635,12866,7823,5041,3334,419,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
BE_K00086,Hasselt,87688,80179,4009,0,23935,8341,5508,11171,14913,8565,2712,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00087,Heist-op-den-Berg,62525,57637,3209,0,15199,6554,3030,11391,7552,8102,1714,723,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00089,Herentals,79200,73357,4372,0,21953,6573,4167,14717,8200,10017,2203,1001,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00088,Herck-la-Ville,28211,26177,1741,0,7480,3026,1260,4206,4713,2779,747,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00090,Herstal,23958,20319,1128,0,0,0,0,0,0,0,0,0,0,2772,1721,9110,1896,158,523,0,235,221,0,184,0,0,0,1887,0,24,46,0,83,97,234,0,0,0
BE_K00091,Herve,16600,14952,908,0,0,0,0,0,0,0,0,0,0,4404,1876,2843,3492,105,493,0,188,118,0,151,0,0,0,178,0,7,23,0,52,16,98,0,0,0
BE_K00092,Herzele,35654,32655,1964,0,9195,6572,1386,4340,3910,3908,1009,185,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0
BE_K00093,Hooglede,16483,15217,984,0,3517,1827,673,4480,1450,1135,1030,77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BE_K00094,Hoogstraten,27450,25394,1399,0,6816,4214,1326,5622,1885,3287,610,195,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00095,Horebeke,7916,7335,378,0,1555,2246,405,906,1123,473,175,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
BE_K00096,Houffalize,3684,3343,253,0,0,0,0,0,0,0,0,0,0,625,285,716,1151,39,89,0,75,31,0,49,0,0,0,23,0,7,0,0,0,0,0,0,0,0
BE_K00097,Huy,41507,35716,2691,0,0,0,0,0,0,0,0,0,0,5414,7102,12542,3499,281,878,0,659,433,0,596,0,0,0,632,0,502,70,0,149,49,219,0,0,0
BE_K00202,Ypres,33571,30571,1973,0,5617,3191,1424,9751,3643,2577,2058,222,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
BE_K00098,Ixelles,72413,60240,1735,0,730,1099,792,779,686,424,106,0,0,19996,9942,11155,5959,378,2297,1256,214,755,394,182,872,249,240,0,0,0,0,0,0,0,0,0,0,0
BE_K00099,Izegem,29958,27481,1764,0,7826,2366,1348,5515,4039,2679,1657,195,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
BE_K00100,Jodoigne,30924,28198,1580,0,0,0,0,0,0,0,0,0,0,9407,3846,6697,3563,430,1079,0,355,160,0,517,0,0,0,233,0,0,277,0,0,0,0,0,54,0
BE_K00101,Kapellen,86495,76958,2731,0,27093,10453,4403,7959,8013,13528,1416,1156,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00102,Kaprijke,4912,4513,297,0,1363,617,249,942,400,412,167,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
BE_K00103,Kontich,93242,83982,2434,0,29998,10285,7522,11241,8899,10732,1612,1112,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00040,Courtrai,101872,93368,5209,0,20901,13307,6273,21406,11924,7920,5109,944,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
BE_K00104,Kruishoutem,11999,11172,707,0,2612,2549,641,2486,854,846,340,89,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
BE_K00121,Louvain,137001,123399,4750,0,32970,16184,17171,18561,20443,8362,2400,1880,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0
BE_K00114,Liège,125842,104076,4829,0,0,0,0,0,0,0,0,0,0,19589,15142,37367,11365,913,2988,0,1233,1855,0,1327,0,0,0,4208,0,156,350,0,475,725,1554,0,0,0
BE_K00106,La Louvière,48652,42842,3579,0,0,0,0,0,0,0,0,0,0,5256,2879,21897,3456,0,827,0,643,422,1204,482,0,0,0,1392,644,71,90,0,0,0,0,0,0,0
BE_K00107,La Roche-en-Ardenne,7050,6533,367,0,0,0,0,0,0,0,0,0,0,1270,589,1807,1972,81,161,0,100,52,0,84,0,0,0,44,0,6,0,0,0,0,0,0,0,0
BE_K00108,Landen,12184,11194,768,0,2183,1360,710,1537,2964,1063,366,123,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
BE_K00109,Le Roeulx,5956,5420,344,0,0,0,0,0,0,0,0,0,0,1506,486,1934,581,0,148,0,63,52,79,55,0,0,0,104,56,5,7,0,0,0,0,0,0,0
BE_K00110,Lennik,35940,32945,1692,0,8170,4356,1312,8790,1993,3501,829,0,0,523,339,548,297,131,126,28,54,21,40,14,102,53,26,0,0,0,0,0,0,0,0,0,0,0
BE_K00111,Lens,9974,9236,327,0,0,0,0,0,0,0,0,0,0,3817,746,2895,658,0,186,0,118,34,140,111,0,0,0,114,74,5,11,0,0,0,0,0,0,0
BE_K00112,Lessines,13704,11959,1055,0,0,0,0,0,0,0,0,0,0,2038,1004,4857,1628,0,311,0,263,73,229,179,0,0,0,144,153,8,17,0,0,0,0,0,0,0
BE_K00113,Leuze-en-Hainaut,10235,9035,713,0,0,0,0,0,0,0,0,0,0,2355,721,2929,1526,0,157,0,149,35,156,121,0,0,0,62,91,5,15,0,0,0,0,0,0,0
BE_K00115,Lichtervelde,6645,6227,431,0,1342,781,289,1725,680,463,422,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
BE_K00116,Lierre,37992,33582,1536,0,9437,4180,2551,4898,4466,5119,851,441,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
