gisco_id,name,registered,turnout,invalid,blank,Open VLD,sp.a-spirit,CD&V,VB (1979),N-VA,Groen,VIVANT,LA,MARIA,B.U.B.,UFE,RESIST,MR,Ecolo,PS,LE,CDF,AGIR,R.W.F.,PCB-CPB,PCP,NATION,PC-RDS,NOOR,VB (2003),PH,PTB/PVDA,OMNIUM,VITAL,LSP/PSL,FRANCE,DL,MS,MDT,PDA,PPR,CHOPE
BE_K00179,Electoral Canton Thuin,25187,22933,1417,0,0,0,0,132,0,0,218,0,0,0,0,0,6561,1574,7365,3046,256,1380,560,92,0,59,0,0,0,0,114,0,0,0,58,25,76,0,0,0,0
BE_K00180,Electoral Canton Tielt,27796,26335,1585,0,5419,4552,8839,2896,1979,623,178,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,83,32,34,0,0,0,0,0,0,0,0
BE_K00181,Electoral Canton Tirlemont,38388,35446,1994,0,9395,9325,5939,5231,943,1489,477,199,238,117,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00182,Electoral Canton Tongres,27666,25494,1507,0,7452,7234,4543,2926,756,574,286,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
BE_K00183,Electoral Canton Torhout,15153,14437,857,0,2621,4086,3947,1520,735,404,103,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,34,30,24,0,0,0,0,0,0,0,0
BE_K00184,Electoral Canton Tournai,49766,44380,4295,0,0,0,0,210,0,0,502,0,0,0,0,0,10055,3620,16091,5393,834,1891,596,258,0,218,0,0,0,0,158,0,0,0,196,28,35,0,0,0,0
BE_K00185,Electoral Canton Turnhout,58336,55026,1950,0,11271,12642,12576,10278,2425,2614,585,418,0,101,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00186,Electoral Canton Uccle,73198,61832,1951,0,1186,769,698,1947,172,236,524,150,249,185,0,0,24503,6370,13047,5430,1192,1937,353,0,473,72,219,88,53,28,0,0,0,0,0,0,0,0,0,0,0
BE_K00187,Electoral Canton Verlaine,6801,6266,254,0,0,0,0,0,0,0,102,0,0,0,0,0,2013,510,2157,771,61,254,44,0,0,0,14,0,0,0,30,0,0,0,23,0,12,8,13,0,0
BE_K00188,Electoral Canton Verviers,39267,34503,2774,0,0,0,0,0,0,0,459,0,0,0,0,0,9331,2183,10494,5727,623,1952,416,0,0,0,99,0,0,0,149,0,0,0,167,0,42,27,60,0,0
