gisco_id,name,registered,turnout,invalid,blank,N-VA,Open VLD,CD&V,Vooruit,VB (1979),Groen,SD&P,PTB/PVDA,PP (2009),ROSSEM,B.U.B.,PVGW,DéFI,PS,MR,LE,PTB-GO,Ecolo,R!,FPN,La Droite,WDA,LO,RW,P+,NATION,R.W.F.,FW,NWA,MGJOD,LDD,VLC,PP [Parti Pensionnés],ISLAM,CIM,VPB,GC,Égalitaires !,P-Lib,Agora Erasmus,La Lutte,MOVE
BE_93018,Doische,0,2019,149,0,0,0,0,0,0,0,0,0,70,0,6,0,41,590,632,224,75,132,40,0,25,0,0,0,0,9,13,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0
BE_64023,Donceel,0,2280,237,0,0,0,0,0,0,0,0,0,88,0,1,0,59,575,663,302,108,173,22,0,13,14,0,0,0,5,8,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0
BE_53020,Dour,0,10530,1130,0,0,0,0,0,0,0,0,0,364,0,14,0,132,4140,1118,2015,382,349,370,193,74,53,39,12,37,34,31,11,27,5,0,0,0,0,0,0,0,0,0,0,0,0
BE_23098,Drogenbos,0,3143,709,0,152,267,29,33,14,69,0,52,46,1,9,0,118,454,487,104,0,138,43,0,2,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,4,1,2,0,0,0
BE_12009,Duffel,0,12216,471,0,4927,1017,2349,924,813,1190,0,359,125,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_83012,Durbuy,0,7580,445,0,0,0,0,0,0,0,0,0,291,0,43,0,115,1643,1740,2300,228,569,103,0,81,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_55050,Écaussinnes,0,7114,509,0,0,0,0,0,0,0,0,0,336,0,13,0,145,2619,1339,741,393,566,140,77,62,43,29,5,7,50,26,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0
BE_11013,Edegem,0,14983,336,0,6547,1850,2199,1093,697,1630,0,487,106,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_43005,Eeklo,0,14472,898,0,4010,2122,2549,1920,919,1354,13,470,132,49,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_92035,Éghezée,0,10599,753,0,0,0,0,0,0,0,0,0,498,0,19,0,303,2620,2993,1804,370,868,144,0,87,0,0,0,0,33,45,12,18,0,0,0,0,0,0,32,0,0,0,0,0,0
BE_51017,Ellezelles / Elzele,0,4167,341,0,0,0,0,0,0,0,0,0,165,0,3,0,60,1224,1091,707,83,341,47,36,15,15,7,9,2,9,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
BE_55010,Enghien / Edingen,0,8623,794,0,0,0,0,0,0,0,0,0,400,0,5,0,238,2451,2171,1058,197,939,117,65,64,36,23,3,7,15,20,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0
BE_61080,Engis,0,3736,343,0,0,0,0,0,0,0,0,0,258,0,10,0,57,1325,479,282,390,282,96,0,77,49,0,0,0,21,11,2,0,0,0,11,27,11,5,0,0,0,0,0,0,0
BE_83013,Érezée,0,2249,134,0,0,0,0,0,0,0,0,0,86,0,6,0,42,351,507,850,61,165,17,0,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_41082,Erpe-Mere,0,14532,635,0,5313,2507,2706,1382,807,739,106,201,78,32,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_56022,Erquelinnes,0,6201,560,0,0,0,0,0,0,0,0,0,369,0,6,0,99,1923,721,1564,176,221,148,145,108,35,22,16,9,17,19,15,21,7,0,0,0,0,0,0,0,0,0,0,0,0
BE_62032,Esneux,0,8863,373,0,0,0,0,0,0,0,0,0,386,0,18,0,243,2083,2765,1106,529,979,91,0,81,91,0,0,0,22,25,4,0,0,0,7,45,4,11,0,0,0,0,0,0,0
BE_34043,Spiere-Helkijn / Espierres-Helchin,0,1423,179,0,207,312,244,253,42,107,0,21,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
BE_11016,Essen,0,10661,394,0,4030,791,2323,1045,822,784,0,331,109,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
