gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_61010,Burdinne,0,2403,136,0,0,0,0,0,0,224,0,0,0,262,950,413,308,47,63,0,0,0
BE_63087,Burg-Reuland,0,2477,201,0,0,0,168,0,0,0,0,0,0,0,202,0,125,0,0,1109,304,368
BE_57018,Celles (Doornik) / Celles (Tournai),0,4128,407,0,0,0,0,0,0,291,0,0,0,730,1557,739,265,57,82,0,0,0
BE_93010,Cerfontaine,0,3662,345,0,0,0,0,0,0,431,0,0,0,445,1593,496,186,79,87,0,0,0
BE_52012,Châtelet,0,20469,2468,0,0,0,0,0,0,3485,0,0,0,5573,4846,2389,759,473,476,0,0,0
BE_52010,Chapelle-lez-Herlaimont,0,9327,1108,0,0,0,0,0,0,1408,0,0,0,3044,2123,930,323,211,180,0,0,0
BE_52011,Charleroi,0,111812,14000,0,0,0,0,0,0,21438,0,0,0,32509,23575,9932,4728,2937,2693,0,0,0
BE_25117,Chastre,0,5552,280,0,0,0,0,0,0,380,0,0,0,564,2109,902,1078,68,171,0,0,0
BE_62022,Chaudfontaine,0,14446,605,0,0,0,0,0,0,1098,0,0,0,1622,7223,1987,1328,203,380,0,0,0
BE_25018,Chaumont-Gistoux,0,8471,348,0,0,0,0,0,0,441,0,0,0,568,4092,1517,1195,91,219,0,0,0
BE_51014,Chièvres,0,5021,495,0,0,0,0,0,0,565,0,0,0,1159,1811,545,263,82,101,0,0,0
BE_56016,Chimay,0,6708,779,0,0,0,0,0,0,645,0,0,0,1042,2620,1006,391,116,109,0,0,0
BE_85007,Chiny,0,3706,426,0,0,0,0,0,0,303,0,0,0,488,1392,677,272,84,64,0,0,0
BE_91030,Ciney,0,11839,1099,0,0,0,0,0,0,1090,0,0,0,1596,4565,2027,1016,190,256,0,0,0
BE_61012,Clavier,0,3480,222,0,0,0,0,0,0,389,0,0,0,366,1468,594,288,63,90,0,0,0
BE_53082,Colfontaine,0,12492,1743,0,0,0,0,0,0,2341,0,0,0,3737,2608,1097,399,258,309,0,0,0
BE_62026,Comblain-au-Pont,0,3479,277,0,0,0,0,0,0,474,0,0,0,659,1075,490,333,71,100,0,0,0
BE_57097,Comines-Warneton / Komen-Waasten,0,9331,1487,0,0,0,0,0,0,950,0,0,0,1556,2874,1365,807,149,143,0,0,0
BE_52015,Courcelles,0,19658,2068,0,0,0,0,0,0,3056,0,0,0,4644,6237,1880,837,452,484,0,0,0
BE_25023,Court-Saint-Étienne,0,7388,378,0,0,0,0,0,0,667,0,0,0,816,2581,1231,1410,130,175,0,0,0
BE_93014,Couvin,0,9460,1306,0,0,0,0,0,0,1219,0,0,0,1907,2870,1227,518,198,215,0,0,0
BE_64021,Crisnée,0,2568,167,0,0,0,0,0,0,226,0,0,0,375,1204,343,162,45,46,0,0,0
BE_62027,Dalhem,0,5419,322,0,0,0,0,0,0,395,0,0,0,582,2715,816,392,76,121,0,0,0
